year,name,english_name,length,genres,release_date,location,nation,director,company,link,awards,nominations,mid,rating,total_box_office,main_actors
2011,变形金刚3,Transformers: Dark of the Moon,154分钟,动作 冒险 科幻,2011年7月21日,中国上映 - 2D/3D/IMAX,美国,迈克尔·贝,派拉蒙影业公司,http://movie.mtime.com/105799/,1,10,105799,8,10.83亿,希亚·拉博夫 ; Shia LaBeouf ; 罗茜·汉丁顿-惠特莉 ; 乔什·杜哈明 ; Josh Duhamel ; 约翰·特托罗 ; John Turturro
2011,金陵十三钗,The Flowers of War,145分钟,剧情 历史 战争,2011年12月16日,中国上映 - 2D,中国,张艺谋,北京新画面影业有限公司,http://movie.mtime.com/118999/,3,10,118999,7.9,6.06亿,倪妮 ; Ni Ni ; 克里斯蒂安·贝尔 ; Christian Bale ; 张歆怡 ; Xin-yi Zhang ; 黄天元 ; Tian-yuan Hu..
2011,功夫熊猫2,Kung Fu Panda 2,91分钟,动画 动作 冒险,2011年5月28日,中国上映 - 2D/3D/IMAX,美国,吕寅荣,派拉蒙影业公司,http://movie.mtime.com/89824/,2,14,89824,8.2,6.17亿,杰克·布莱克 ; Jack Black ; 安吉丽娜·朱莉 ; Angelina Jolie ; 达斯汀·霍夫曼 ; Dustin Hoffman ; 成龙 ; Jackie Chan
2011,哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,130分钟,冒险 剧情 奇幻,2011年8月4日,中国上映 - 3D/IMAX,美国,大卫·耶茨,华纳兄弟影片公司,http://movie.mtime.com/78592/,13,23,78592,8.5,4.04亿,丹尼尔·雷德克里夫 ; Daniel Radcl.. ; 鲁伯特·格林特 ; Rupert Grint ; 艾玛·沃森 ; Emma Watson ; 拉尔夫·费因斯 ; Ralph Fiennes
2011,猩球崛起,Rise of the Planet of the Apes,105分钟,动作 剧情 科幻,2011年10月28日,中国上映 - 2D,美国,鲁伯特·瓦耶特,二十世纪福斯电影公司,http://movie.mtime.com/133404/,4,5,133404,8.2,2.08亿,安迪·瑟金斯 ; Andy Serkis ; 詹姆斯·弗兰科 ; James Franco ; 芙蕾达·平托 ; Freida Pinto ; 约翰·利特高 ; John Lithgow
2011,建党伟业,Beginning of The Great Revival,125分钟,历史,2011年6月15日,中国上映 - 2D,中国,韩三平,中国电影集团公司,http://movie.mtime.com/129119/,0,0,129119,-1,-,刘烨 ; Ye Liu ; 冯远征 ; Yuanzheng Feng ; 张嘉译 ; Jiayi Zhang ; 陈坤 ; Kun Chen
2011,那些年，我们一起追的女孩,You Are The Apple Of My Eye,105分钟,爱情 剧情 喜剧,2012年1月6日,中国上映 - 2D,中国台湾,九把刀,福斯国际制作（大中华）有限公司,http://movie.mtime.com/135358/,6,7,135358,8.1,7820.0万,柯震东 ; Kai Ko ; 陈妍希 ; Michelle Chen ; 郝劭文 ; Siu-Man Fok ; 蔡昌宪 ; Emerson Cai
2011,龙门飞甲,Flying Swords of Dragon Gate 3D,7260分钟,动作 冒险,2011年12月15日,中国上映 - 2D/3D/IMAX,中国,徐克,中国电影集团公司,http://movie.mtime.com/127800/,8,26,127800,7.2,5.56亿,李连杰 ; Jet Li ; 陈坤 ; Kun Chen ; 周迅 ; Xun Zhou ; 范晓萱 ; Mavis Fan
2011,单身男女,Don't Go Breaking My Heart,115分钟,爱情 剧情,2011年3月31日,中国上映 - 2D,中国香港,杜琪峯,Lark Films Distribution,http://movie.mtime.com/126792/,0,4,126792,7.3,9720.0万,古天乐 ; Louis Koo ; 高圆圆 ; Yuanyuan Gao ; 吴彦祖 ; Daniel Wu ; 林雪 ; Suet Lam
2011,铁甲钢拳,Real Steel,,运动 动作 剧情,2011年11月8日,中国上映 - 2D/IMAX,美国,肖恩·利维,华特·迪士尼电影工作室,http://movie.mtime.com/119447/,0,2,119447,8.4,1.41亿,休·杰克曼 ; Hugh Jackman ; 达科塔·高尤 ; Dakota Goyo ; 伊万杰琳·莉莉 ; Evangeline L.. ; 安东尼·麦凯 ; Anthony Mackie
2011,美少女特攻队,Sucker Punch,110分钟,动作 奇幻,2011年4月15日,中国上映 - 2D,美国,扎克·施奈德,华纳兄弟影片公司,http://movie.mtime.com/100317/,0,0,100317,7.1,4800.0万,艾米莉·布朗宁 ; Emily Browning ; 艾比·考尼什 ; Abbie Cornish ; 吉娜·马隆 ; Jena Malone ; 瓦妮莎·哈金斯 ; Vanessa Hudg..
2011,雷神,Thor,115分钟,动作 冒险 奇幻,2011年5月8日,中国上映 - 2D/3D,美国,肯尼思·布拉纳,派拉蒙影业公司,http://movie.mtime.com/83330/,0,0,83330,7.1,9800.0万,克里斯·海姆斯沃斯 ; Chris Hemswo.. ; 娜塔莉·波特曼 ; Natalie Port.. ; 安东尼·霍普金斯 ; Anthony Hopk.. ; 汤姆·希德勒斯顿 ; Tom Hiddleston
2011,武侠,Wu Xia,115分钟,动作 剧情,2011年7月4日,中国上映 - 2D,中国,陈可辛,Golden Village Pictures,http://movie.mtime.com/133551/,8,16,133551,7.1,1.72亿,甄子丹 ; Donnie Yen ; 金城武 ; Takeshi Kane.. ; 汤唯 ; Wei Tang ; 王羽 ; Yu Wang
2011,战马,War Horse,146分钟,剧情 战争,2012年2月28日,中国上映 - 2D,美国,史蒂文·斯皮尔伯格,试金石影片公司,http://movie.mtime.com/129572/,0,15,129572,8.2,1.24亿,杰瑞米·艾文 ; Jeremy Irvine ; 彼得·穆兰 ; Peter Mullan ; 艾米丽·沃森 ; Emily Watson ; 尼尔斯·阿莱斯楚普 ; Niels Arestrup
2011,X战警：第一战,X-Men: First Class,132分钟,动作 冒险 科幻,2011年6月3日,美国上映,美国,马修·沃恩,二十世纪福斯电影公司,http://movie.mtime.com/92772/,0,0,92772,8.1,-,迈克尔·法斯宾德 ; Michael Fass.. ; 詹姆斯·麦卡沃伊 ; James McAvoy ; 凯文·贝肯 ; Kevin Bacon ; 詹妮弗·劳伦斯 ; Jennifer Law..
2011,青蜂侠,Green Hornet,,犯罪 动作 喜剧,2011年2月8日,中国上映 - 2D/3D,美国,米歇尔·冈瑞,哥伦比亚电影公司,http://movie.mtime.com/83331/,0,0,83331,6.3,1.40亿,塞斯·罗根 ; Seth Rogen ; 周杰伦 ; Jay Chou ; 卡梅隆·迪亚茨 ; Cameron Diaz ; 汤姆·威尔金森 ; Tom Wilkinson
2011,迷踪：第九鹰团,The Eagle,114分钟,剧情 冒险,2011年4月29日,中国上映 - 2D,美国,凯文·麦克唐纳,焦点电影公司,http://movie.mtime.com/104891/,0,0,104891,7.1,900.0万,查宁·塔图姆 ; Channing Tatum ; 杰米·贝尔 ; Jamie Bell ; 马克·斯特朗 ; Mark Strong ; 塔哈·拉希姆 ; Tahar Rahim
2011,关键第4号,I Am Number Four,,科幻 动作 惊悚,2011年2月26日,中国上映 - 2D,美国,D·J·卡卢索,试金石影片公司,http://movie.mtime.com/127143/,0,0,127143,7.1,1.18亿,亚历克斯·帕蒂弗 ; Alex Pettyfer ; 迪安娜·阿格隆 ; Dianna Agron ; 泰莉莎·帕尔墨 ; Teresa Palmer ; 蒂莫西·奥利芬特 ; Timothy Olyp..
2011,新少林寺,Shaolin,,动作 剧情,2011年1月19日,中国上映 - 2D,中国,陈木胜,Scorpio East,http://movie.mtime.com/112198/,0,4,112198,6.6,2.16亿,刘德华 ; Andy Lau ; 谢霆锋 ; Nicholas Tse ; 成龙 ; Jackie Chan ; 范冰冰 ; Bingbing Fan
2011,暮光之城4：破晓（上）,The Twilight Saga: Breaking Dawn - Part 1,117分钟,冒险 剧情 奇幻,2012年10月23日,中国上映 - 2D,美国,比尔·康顿,顶峰娱乐,http://movie.mtime.com/94154/,0,0,94154,6.5,3400.0万,克里斯汀·斯图尔特 ; Kristen Stew.. ; 罗伯特·帕丁森 ; Robert Patti.. ; 泰勒·洛特纳 ; Taylor Lautner ; 吉尔·伯明翰 ; Gil Birmingham
2011,战国,The Warring States,,战争 古装 剧情,2011年4月12日,中国上映 - 2D,中国,金琛,China Lion Film Distribution,http://movie.mtime.com/125860/,0,0,125860,4.6,7660.0万,孙红雷 ; Honglei Sun ; 景甜 ; Tian Jing ; 吴镇宇 ; Francis Ng ; 金喜善 ; Hee-sun Kim
2011,白蛇传说,Its Love,103分钟,动作 奇幻,2011年9月28日,中国上映 - 2D,中国,程小东,博纳影业集团,http://movie.mtime.com/132429/,0,3,132429,5.5,2.11亿,李连杰 ; Jet Li ; 黄圣依 ; Shengyi Huang ; 林峰 ; Raymond Lam ; 蔡卓妍 ; Charlene Choi
2011,桃姐,A Simple Life,118分钟,剧情,2012年3月8日,中国上映 - 2D,中国香港,许鞍华,发行工作室(香港)有限公司,http://movie.mtime.com/142351/,12,14,142351,8.3,6782.0万,叶德娴 ; Deannie Yip ; 刘德华 ; Andy Lau ; 秦海璐 ; Amanda Qin ; 秦沛 ; Paul Chun
2011,观音山,Buddha Mountain,,剧情,2011年3月3日,中国上映 - 2D,中国,李玉,北京盛世新影影视发行有限公司,http://movie.mtime.com/112043/,0,0,112043,7.1,7200.0万,范冰冰 ; Bingbing Fan ; 陈柏霖 ; Berlin Chen ; 张艾嘉 ; Sylvia Chang ; 李斯丹妮 ; Dany Lee
2011,龙纹身的女孩,The Girl with the Dragon Tattoo,158分钟,犯罪 剧情 悬疑,2011年12月21日,美国上映,美国,大卫·芬奇,哥伦比亚电影公司,http://movie.mtime.com/130716/,2,13,130716,8.3,-,丹尼尔·克雷格 ; Daniel Craig ; 鲁妮·玛拉 ; Rooney Mara ; 斯特兰·斯卡斯加德 ; Stellan Skar.. ; 克里斯托弗·普卢默 ; Christopher ..
2011,兰戈,Rango,,动画 冒险 动作,2011年3月4日,美国上映,美国,戈尔·维宾斯基,派拉蒙影业公司,http://movie.mtime.com/93881/,0,0,93881,8.2,-,约翰尼·德普 ; Johnny Depp ; 艾拉·菲舍尔 ; Isla Fisher ; 阿比吉尔·布莱斯林 ; Abigail Bres.. ; 尼德·巴蒂 ; Ned Beatty
2011,绿灯侠,Green Lantern,114分钟,动作 冒险 科幻,2011年10月20日,中国上映 - 2D/3D,美国,马丁·坎贝尔,华纳兄弟影片公司,http://movie.mtime.com/89943/,0,0,89943,6.8,7400.0万,瑞安·雷诺兹 ; Ryan Reynolds ; 布蕾克·莱弗利 ; Blake Lively ; 彼得·萨斯加德 ; Peter Sarsga.. ; 马克·斯特朗 ; Mark Strong
2011,最强囍事,All's Well Ends Well 2011,,喜剧,2011年1月31日,中国上映 - 2D,中国香港,陈庆嘉,Cathay-Keris Films Pte. Ltd.,http://movie.mtime.com/134509/,0,0,134509,6,1.70亿,甄子丹 ; Donnie Yen ; 古天乐 ; Louis Koo ; 张柏芝 ; Cecilia Cheung ; 刘嘉玲 ; Carina Lau
2011,时间规划局,In Time,109分钟,动作 科幻 惊悚,2011年10月28日,美国上映,美国,安德鲁·尼科尔,二十世纪福斯电影公司,http://movie.mtime.com/133371/,0,0,133371,7.3,-,贾斯汀·汀布莱克 ; Justin Timbe.. ; 阿曼达·塞弗里德 ; Amanda Seyfr.. ; 奥利维亚·王尔德 ; Olivia Wilde ; Shyloh Oostwald
2011,我知女人心,I Know a Woman's Heart,116分钟,爱情 喜剧,2011年2月3日,中国上映 - 2D,中国,陈大明,博纳影业集团,http://movie.mtime.com/132425/,0,0,132425,6.4,6758.0万,刘德华 ; Andy Lau ; 胡静 ; Jing Hu ; 巩俐 ; Li Gong ; 王德顺 ; Deshun Wang
2011,命运规划局,The Adjustment Bureau,6300分钟,爱情 科幻 惊悚,2011年3月4日,美国上映,美国,乔治·诺非,环球影业,http://movie.mtime.com/100894/,0,0,100894,7.6,-,马特·达蒙 ; Matt Damon ; 艾米莉·布朗特 ; Emily Blunt ; 特伦斯·斯坦普 ; Terence Stamp ; 迈克尔·凯利 ; Michael Kelly
